fact_id,claim,verdict,topic,source,published_date,related_keywords,confidence,url
FC000034,Sample claim about education #34,mixed,education,Snopes,2024-05-24T00:00:00,"['world_news', 'entertainment', 'health']",0.562,https://factcheck.example.com/34
FC000035,Sample claim about environment #35,mixed,environment,Snopes,2024-01-11T00:00:00,['business'],0.874,https://factcheck.example.com/35
FC000036,Sample claim about education #36,false,education,AP Fact Check,2024-06-12T00:00:00,['politics'],0.865,https://factcheck.example.com/36
FC000037,Sample claim about sports #37,mixed,sports,FactCheck.org,2024-05-29T00:00:00,['environment'],0.9,https://factcheck.example.com/37
FC000038,Sample claim about health #38,true,health,Reuters Fact Check,2024-01-14T00:00:00,"['entertainment', 'science']",0.92,https://factcheck.example.com/38
FC000039,Sample claim about environment #39,unverified,environment,Snopes,2024-06-20T00:00:00,['politics'],0.931,https://factcheck.example.com/39
FC000040,Sample claim about education #40,unverified,education,Snopes,2024-01-27T00:00:00,"['health', 'entertainment']",0.649,https://factcheck.example.com/40
FC000041,Sample claim about entertainment #41,true,entertainment,AP Fact Check,2024-01-16T00:00:00,['world_news'],0.876,https://factcheck.example.com/41
FC000042,Sample claim about business #42,false,business,Snopes,2024-05-02T00:00:00,['sports'],0.564,https://factcheck.example.com/42
FC000043,Sample claim about world_news #43,true,world_news,Snopes,2024-01-23T00:00:00,"['politics', 'science', 'education']",0.868,https://factcheck.example.com/43
FC000044,Sample claim about sports #44,mixed,sports,FactCheck.org,2024-06-26T00:00:00,"['education', 'world_news', 'entertainment']",0.97,https://factcheck.example.com/44
FC000045,Sample claim about politics #45,true,politics,PolitiFact,2024-03-05T00:00:00,"['science', 'health']",0.67,https://factcheck.example.com/45
FC000046,Sample claim about business #46,mixed,business,Reuters Fact Check,2024-03-31T00:00:00,"['education', 'politics']",0.962,https://factcheck.example.com/46
FC000047,Sample claim about education #47,true,education,PolitiFact,2024-01-07T00:00:00,['entertainment'],0.599,https://factcheck.example.com/47
FC000048,Sample claim about entertainment #48,false,entertainment,FactCheck.org,2024-01-31T00:00:00,['technology'],0.8,https://factcheck.example.com/48
FC000049,Sample claim about education #49,true,education,FactCheck.org,2024-03-10T00:00:00,['sports'],0.651,https://factcheck.example.com/49
FC000050,Sample claim about technology #50,false,technology,Snopes,2024-06-25T00:00:00,"['world_news', 'sports']",0.892,https://factcheck.example.com/50
FC000051,Sample claim about science #51,true,science,Snopes,2024-01-19T00:00:00,['education'],0.734,https://factcheck.example.com/51
FC000052,Sample claim about world_news #52,false,world_news,Reuters Fact Check,2024-05-22T00:00:00,"['education', 'environment']",0.907,https://factcheck.example.com/52
FC000053,Sample claim about science #53,false,science,Reuters Fact Check,2024-01-27T00:00:00,['business'],0.617,https://factcheck.example.com/53
FC000054,Sample claim about science #54,false,science,FactCheck.org,2024-06-03T00:00:00,"['business', 'education', 'technology']",0.799,https://factcheck.example.com/54
FC000055,Sample claim about entertainment #55,false,entertainment,AP Fact Check,2024-05-29T00:00:00,"['world_news', 'science', 'entertainment']",0.78,https://factcheck.example.com/55
FC000056,Sample claim about technology #56,mixed,technology,FactCheck.org,2024-05-03T00:00:00,['business'],0.686,https://factcheck.example.com/56
FC000057,Sample claim about science #57,false,science,FactCheck.org,2024-04-23T00:00:00,['science'],0.879,https://factcheck.example.com/57
FC000058,Sample claim about education #58,mixed,education,FactCheck.org,2024-03-05T00:00:00,"['business', 'sports']",0.9,https://factcheck.example.com/58
FC000059,Sample claim about education #59,false,education,AP Fact Check,2024-01-10T00:00:00,['health'],0.873,https://factcheck.example.com/59
FC000060,Sample claim about world_news #60,true,world_news,FactCheck.org,2024-01-26T00:00:00,['science'],0.849,https://factcheck.example.com/60
FC000061,Sample claim about politics #61,false,politics,PolitiFact,2024-02-02T00:00:00,"['education', 'technology']",0.594,https://factcheck.example.com/61
FC000062,Sample claim about sports #62,true,sports,PolitiFact,2024-03-31T00:00:00,"['environment', 'science']",0.807,https://factcheck.example.com/62
FC000063,Sample claim about science #63,true,science,PolitiFact,2024-01-24T00:00:00,['education'],0.786,https://factcheck.example.com/63
FC000064,Sample claim about health #64,false,health,Reuters Fact Check,2024-02-04T00:00:00,['health'],0.839,https://factcheck.example.com/64
FC000065,Sample claim about entertainment #65,true,entertainment,AP Fact Check,2024-01-25T00:00:00,"['world_news', 'environment', 'education']",0.892,https://factcheck.example.com/65
FC000066,Sample claim about entertainment #66,unverified,entertainment,FactCheck.org,2024-05-15T00:00:00,"['world_news', 'science']",0.716,https://factcheck.example.com/66
FC000067,Sample claim about business #67,true,business,Snopes,2024-03-30T00:00:00,['politics'],0.89,https://factcheck.example.com/67
FC000068,Sample claim about business #68,mixed,business,FactCheck.org,2024-03-13T00:00:00,['entertainment'],0.723,https://factcheck.example.com/68
FC000069,Sample claim about world_news #69,mixed,world_news,PolitiFact,2024-04-09T00:00:00,"['politics', 'technology', 'sports']",0.917,https://factcheck.example.com/69
FC000070,Sample claim about business #70,true,business,PolitiFact,2024-04-09T00:00:00,"['sports', 'health', 'business']",0.869,https://factcheck.example.com/70
FC000071,Sample claim about entertainment #71,false,entertainment,FactCheck.org,2024-02-08T00:00:00,"['politics', 'science', 'entertainment']",0.824,https://factcheck.example.com/71
FC000072,Sample claim about business #72,false,business,FactCheck.org,2024-02-06T00:00:00,['health'],0.936,https://factcheck.example.com/72
FC000073,Sample claim about politics #73,false,politics,FactCheck.org,2024-02-11T00:00:00,['science'],0.902,https://factcheck.example.com/73
FC000074,Sample claim about environment #74,mixed,environment,PolitiFact,2024-01-16T00:00:00,"['technology', 'education']",0.888,https://factcheck.example.com/74
FC000075,Sample claim about health #75,false,health,Snopes,2024-03-04T00:00:00,"['science', 'world_news', 'politics']",0.882,https://factcheck.example.com/75
FC000076,Sample claim about politics #76,true,politics,Snopes,2024-04-22T00:00:00,"['business', 'politics', 'health']",0.522,https://factcheck.example.com/76
FC000077,Sample claim about technology #77,false,technology,FactCheck.org,2024-04-20T00:00:00,"['politics', 'education', 'business']",0.925,https://factcheck.example.com/77
FC000078,Sample claim about health #78,false,health,AP Fact Check,2024-06-14T00:00:00,"['politics', 'health']",0.836,https://factcheck.example.com/78
FC000079,Sample claim about politics #79,false,politics,FactCheck.org,2024-03-18T00:00:00,['world_news'],0.706,https://factcheck.example.com/79
FC000080,Sample claim about entertainment #80,false,entertainment,AP Fact Check,2024-03-15T00:00:00,['world_news'],0.771,https://factcheck.example.com/80
FC000081,Sample claim about health #81,false,health,Reuters Fact Check,2024-04-04T00:00:00,['entertainment'],0.758,https://factcheck.example.com/81
FC000082,Sample claim about technology #82,true,technology,AP Fact Check,2024-04-28T00:00:00,"['science', 'environment', 'education']",0.851,https://factcheck.example.com/82
FC000083,Sample claim about technology #83,unverified,technology,Reuters Fact Check,2024-03-19T00:00:00,"['education', 'world_news']",0.949,https://factcheck.example.com/83
FC000084,Sample claim about education #84,false,education,Snopes,2024-03-30T00:00:00,"['entertainment', 'politics']",0.885,https://factcheck.example.com/84
FC000085,Sample claim about world_news #85,true,world_news,Snopes,2024-06-07T00:00:00,"['entertainment', 'technology', 'education']",0.837,https://factcheck.example.com/85
FC000086,Sample claim about science #86,false,science,FactCheck.org,2024-03-03T00:00:00,"['technology', 'science', 'environment']",0.743,https://factcheck.example.com/86
FC000087,Sample claim about science #87,unverified,science,Reuters Fact Check,2024-06-05T00:00:00,"['science', 'politics']",0.785,https://factcheck.example.com/87
FC000088,Sample claim about education #88,true,education,PolitiFact,2024-06-13T00:00:00,"['environment', 'education', 'entertainment']",0.921,https://factcheck.example.com/88
FC000089,Sample claim about business #89,false,business,Snopes,2024-04-06T00:00:00,"['health', 'business']",0.582,https://factcheck.example.com/89
FC000090,Sample claim about health #90,false,health,Reuters Fact Check,2024-05-07T00:00:00,"['technology', 'education', 'health']",0.92,https://factcheck.example.com/90
FC000091,Sample claim about sports #91,true,sports,FactCheck.org,2024-04-12T00:00:00,"['politics', 'entertainment']",0.624,https://factcheck.example.com/91
FC000092,Sample claim about world_news #92,false,world_news,Reuters Fact Check,2024-05-28T00:00:00,['environment'],0.789,https://factcheck.example.com/92
FC000093,Sample claim about politics #93,false,politics,Reuters Fact Check,2024-04-19T00:00:00,"['politics', 'entertainment', 'sports']",0.875,https://factcheck.example.com/93
FC000094,Sample claim about science #94,unverified,science,Reuters Fact Check,2024-01-04T00:00:00,"['sports', 'education', 'technology']",0.651,https://factcheck.example.com/94
FC000095,Sample claim about science #95,unverified,science,Reuters Fact Check,2024-05-23T00:00:00,['technology'],0.935,https://factcheck.example.com/95
FC000096,Sample claim about education #96,mixed,education,FactCheck.org,2024-01-28T00:00:00,"['technology', 'world_news']",0.694,https://factcheck.example.com/96
FC000097,Sample claim about environment #97,true,environment,PolitiFact,2024-06-24T00:00:00,"['health', 'environment']",0.745,https://factcheck.example.com/97
FC000098,Sample claim about education #98,true,education,FactCheck.org,2024-05-26T00:00:00,['sports'],0.773,https://factcheck.example.com/98
FC000099,Sample claim about health #99,unverified,health,AP Fact Check,2024-06-22T00:00:00,"['education', 'technology', 'science']",0.73,https://factcheck.example.com/99
FC000100,Sample claim about business #100,true,business,FactCheck.org,2024-04-17T00:00:00,"['science', 'sports']",0.857,https://factcheck.example.com/100
FC000101,Sample claim about business #101,false,business,FactCheck.org,2024-04-04T00:00:00,"['technology', 'sports', 'science']",0.768,https://factcheck.example.com/101
FC000102,Sample claim about sports #102,false,sports,Snopes,2024-03-16T00:00:00,"['entertainment', 'politics']",0.757,https://factcheck.example.com/102
FC000103,Sample claim about business #103,false,business,FactCheck.org,2024-02-27T00:00:00,"['technology', 'health']",0.721,https://factcheck.example.com/103
FC000104,Sample claim about technology #104,false,technology,AP Fact Check,2024-04-20T00:00:00,"['technology', 'politics']",0.875,https://factcheck.example.com/104
FC000105,Sample claim about technology #105,unverified,technology,Reuters Fact Check,2024-05-29T00:00:00,['entertainment'],0.895,https://factcheck.example.com/105
FC000106,Sample claim about environment #106,unverified,environment,AP Fact Check,2024-06-29T00:00:00,['health'],0.752,https://factcheck.example.com/106
FC000107,Sample claim about health #107,mixed,health,Snopes,2024-05-21T00:00:00,['politics'],0.89,https://factcheck.example.com/107
FC000108,Sample claim about environment #108,mixed,environment,Reuters Fact Check,2024-02-25T00:00:00,"['education', 'science', 'technology']",0.909,https://factcheck.example.com/108
FC000109,Sample claim about science #109,true,science,AP Fact Check,2024-05-23T00:00:00,"['technology', 'environment', 'business']",0.918,https://factcheck.example.com/109
FC000110,Sample claim about education #110,mixed,education,PolitiFact,2024-01-20T00:00:00,"['health', 'sports']",0.71,https://factcheck.example.com/110
FC000111,Sample claim about sports #111,true,sports,FactCheck.org,2024-05-27T00:00:00,['environment'],0.658,https://factcheck.example.com/111
FC000112,Sample claim about world_news #112,false,world_news,FactCheck.org,2024-04-06T00:00:00,['sports'],0.966,https://factcheck.example.com/112
FC000113,Sample claim about world_news #113,true,world_news,PolitiFact,2024-02-12T00:00:00,"['science', 'health']",0.709,https://factcheck.example.com/113
FC000114,Sample claim about sports #114,false,sports,FactCheck.org,2024-03-26T00:00:00,"['science', 'world_news']",0.774,https://factcheck.example.com/114
FC000115,Sample claim about sports #115,false,sports,Snopes,2024-04-17T00:00:00,"['entertainment', 'environment', 'health']",0.972,https://factcheck.example.com/115
FC000116,Sample claim about entertainment #116,true,entertainment,PolitiFact,2024-06-29T00:00:00,"['world_news', 'science', 'health']",0.906,https://factcheck.example.com/116
FC000117,Sample claim about environment #117,true,environment,AP Fact Check,2024-03-02T00:00:00,"['entertainment', 'health', 'sports']",0.622,https://factcheck.example.com/117
FC000118,Sample claim about technology #118,false,technology,Snopes,2024-02-25T00:00:00,"['science', 'politics']",0.649,https://factcheck.example.com/118
FC000119,Sample claim about world_news #119,mixed,world_news,Reuters Fact Check,2024-06-22T00:00:00,['business'],0.834,https://factcheck.example.com/119
FC000120,Sample claim about politics #120,mixed,politics,Snopes,2024-04-01T00:00:00,['politics'],0.678,https://factcheck.example.com/120
FC000121,Sample claim about business #121,true,business,Reuters Fact Check,2024-02-27T00:00:00,['world_news'],0.871,https://factcheck.example.com/121
FC000122,Sample claim about health #122,false,health,FactCheck.org,2024-06-08T00:00:00,"['entertainment', 'science']",0.838,https://factcheck.example.com/122
FC000123,Sample claim about health #123,unverified,health,AP Fact Check,2024-04-22T00:00:00,"['world_news', 'science']",0.853,https://factcheck.example.com/123
FC000124,Sample claim about health #124,mixed,health,Reuters Fact Check,2024-01-30T00:00:00,"['sports', 'business', 'entertainment']",0.926,https://factcheck.example.com/124
FC000125,Sample claim about technology #125,true,technology,Reuters Fact Check,2024-01-04T00:00:00,"['education', 'politics', 'world_news']",0.885,https://factcheck.example.com/125
FC000126,Sample claim about entertainment #126,mixed,entertainment,Reuters Fact Check,2024-02-13T00:00:00,"['environment', 'entertainment', 'politics']",0.83,https://factcheck.example.com/126
FC000127,Sample claim about entertainment #127,unverified,entertainment,Snopes,2024-01-05T00:00:00,"['business', 'entertainment', 'health']",0.651,https://factcheck.example.com/127
FC000128,Sample claim about health #128,false,health,Reuters Fact Check,2024-05-20T00:00:00,['business'],0.733,https://factcheck.example.com/128
FC000129,Sample claim about entertainment #129,false,entertainment,AP Fact Check,2024-04-30T00:00:00,['world_news'],0.284,https://factcheck.example.com/129
FC000130,Sample claim about education #130,unverified,education,Reuters Fact Check,2024-06-13T00:00:00,['sports'],0.858,https://factcheck.example.com/130
FC000131,Sample claim about health #131,true,health,PolitiFact,2024-04-14T00:00:00,['technology'],0.627,https://factcheck.example.com/131
FC000132,Sample claim about health #132,unverified,health,AP Fact Check,2024-03-28T00:00:00,['entertainment'],0.872,https://factcheck.example.com/132
FC000133,Sample claim about sports #133,mixed,sports,AP Fact Check,2024-02-29T00:00:00,"['science', 'technology', 'entertainment']",0.832,https://factcheck.example.com/133
FC000134,Sample claim about science #134,mixed,science,Snopes,2024-03-10T00:00:00,"['sports', 'entertainment', 'world_news']",0.821,https://factcheck.example.com/134
FC000135,Sample claim about politics #135,false,politics,AP Fact Check,2024-05-02T00:00:00,"['entertainment', 'world_news', 'education']",0.658,https://factcheck.example.com/135
FC000136,Sample claim about science #136,true,science,Snopes,2024-03-02T00:00:00,['health'],0.785,https://factcheck.example.com/136
FC000137,Sample claim about politics #137,true,politics,AP Fact Check,2024-05-03T00:00:00,"['world_news', 'entertainment']",0.878,https://factcheck.example.com/137
FC000138,Sample claim about health #138,unverified,health,Reuters Fact Check,2024-06-12T00:00:00,"['health', 'environment']",0.755,https://factcheck.example.com/138
FC000139,Sample claim about education #139,false,education,AP Fact Check,2024-05-15T00:00:00,['entertainment'],0.931,https://factcheck.example.com/139
FC000140,Sample claim about health #140,false,health,FactCheck.org,2024-02-15T00:00:00,['world_news'],0.826,https://factcheck.example.com/140
FC000141,Sample claim about politics #141,mixed,politics,PolitiFact,2024-03-10T00:00:00,"['business', 'technology', 'sports']",0.945,https://factcheck.example.com/141
FC000142,Sample claim about politics #142,mixed,politics,Reuters Fact Check,2024-04-10T00:00:00,"['entertainment', 'environment', 'science']",0.755,https://factcheck.example.com/142
FC000143,Sample claim about technology #143,mixed,technology,Reuters Fact Check,2024-05-01T00:00:00,"['business', 'world_news', 'education']",0.77,https://factcheck.example.com/143
FC000144,Sample claim about health #144,false,health,FactCheck.org,2024-02-14T00:00:00,['politics'],0.851,https://factcheck.example.com/144
FC000145,Sample claim about politics #145,true,politics,AP Fact Check,2024-03-19T00:00:00,"['sports', 'science']",0.905,https://factcheck.example.com/145
FC000146,Sample claim about science #146,true,science,AP Fact Check,2024-01-01T00:00:00,"['politics', 'health', 'business']",0.858,https://factcheck.example.com/146
FC000147,Sample claim about world_news #147,true,world_news,AP Fact Check,2024-03-27T00:00:00,"['sports', 'politics', 'education']",0.922,https://factcheck.example.com/147
FC000148,Sample claim about science #148,false,science,Reuters Fact Check,2024-06-22T00:00:00,"['sports', 'entertainment', 'science']",0.882,https://factcheck.example.com/148
FC000149,Sample claim about entertainment #149,false,entertainment,Reuters Fact Check,2024-01-09T00:00:00,"['technology', 'politics']",0.806,https://factcheck.example.com/149
FC000150,Sample claim about technology #150,true,technology,Reuters Fact Check,2024-01-02T00:00:00,"['world_news', 'health']",0.928,https://factcheck.example.com/150
FC000151,Sample claim about environment #151,mixed,environment,Snopes,2024-04-29T00:00:00,"['environment', 'science']",0.879,https://factcheck.example.com/151
FC000152,Sample claim about entertainment #152,false,entertainment,FactCheck.org,2024-01-06T00:00:00,"['sports', 'technology']",0.853,https://factcheck.example.com/152
FC000153,Sample claim about education #153,false,education,FactCheck.org,2024-01-24T00:00:00,"['science', 'world_news']",0.703,https://factcheck.example.com/153
FC000154,Sample claim about education #154,false,education,PolitiFact,2024-04-19T00:00:00,"['education', 'environment', 'technology']",0.943,https://factcheck.example.com/154
FC000155,Sample claim about world_news #155,mixed,world_news,PolitiFact,2024-04-25T00:00:00,"['environment', 'entertainment', 'world_news']",0.635,https://factcheck.example.com/155
FC000156,Sample claim about science #156,false,science,AP Fact Check,2024-04-07T00:00:00,"['world_news', 'sports', 'environment']",0.754,https://factcheck.example.com/156
FC000157,Sample claim about science #157,true,science,AP Fact Check,2024-04-16T00:00:00,"['science', 'education']",0.73,https://factcheck.example.com/157
FC000158,Sample claim about health #158,mixed,health,PolitiFact,2024-06-17T00:00:00,"['politics', 'health', 'world_news']",0.876,https://factcheck.example.com/158
FC000159,Sample claim about business #159,mixed,business,Reuters Fact Check,2024-05-25T00:00:00,"['technology', 'environment']",0.921,https://factcheck.example.com/159
FC000160,Sample claim about science #160,unverified,science,Snopes,2024-04-18T00:00:00,"['education', 'sports']",0.912,https://factcheck.example.com/160
FC000161,Sample claim about science #161,unverified,science,Reuters Fact Check,2024-03-21T00:00:00,"['entertainment', 'politics', 'sports']",0.762,https://factcheck.example.com/161
FC000162,Sample claim about business #162,false,business,FactCheck.org,2024-05-31T00:00:00,"['science', 'technology', 'sports']",0.868,https://factcheck.example.com/162
FC000163,Sample claim about world_news #163,false,world_news,Reuters Fact Check,2024-03-04T00:00:00,"['technology', 'politics']",0.567,https://factcheck.example.com/163
FC000164,Sample claim about world_news #164,true,world_news,Reuters Fact Check,2024-01-24T00:00:00,['education'],0.883,https://factcheck.example.com/164
FC000165,Sample claim about environment #165,false,environment,Snopes,2024-05-14T00:00:00,['environment'],0.657,https://factcheck.example.com/165
FC000166,Sample claim about health #166,mixed,health,Reuters Fact Check,2024-04-23T00:00:00,"['education', 'politics', 'entertainment']",0.849,https://factcheck.example.com/166
FC000167,Sample claim about business #167,false,business,AP Fact Check,2024-01-10T00:00:00,['health'],0.86,https://factcheck.example.com/167
FC000168,Sample claim about science #168,false,science,AP Fact Check,2024-03-27T00:00:00,"['politics', 'science', 'business']",0.651,https://factcheck.example.com/168
FC000169,Sample claim about technology #169,unverified,technology,Snopes,2024-05-17T00:00:00,"['health', 'entertainment']",0.769,https://factcheck.example.com/169
FC000170,Sample claim about entertainment #170,false,entertainment,Snopes,2024-05-05T00:00:00,['health'],0.828,https://factcheck.example.com/170
FC000171,Sample claim about sports #171,true,sports,Reuters Fact Check,2024-02-02T00:00:00,"['health', 'technology', 'world_news']",0.929,https://factcheck.example.com/171
FC000172,Sample claim about technology #172,true,technology,Snopes,2024-01-19T00:00:00,"['education', 'entertainment']",0.529,https://factcheck.example.com/172
FC000173,Sample claim about health #173,false,health,AP Fact Check,2024-03-05T00:00:00,['education'],0.982,https://factcheck.example.com/173
FC000174,Sample claim about science #174,mixed,science,AP Fact Check,2024-04-06T00:00:00,['technology'],0.912,https://factcheck.example.com/174
FC000175,Sample claim about education #175,false,education,Reuters Fact Check,2024-03-18T00:00:00,['entertainment'],0.782,https://factcheck.example.com/175
FC000176,Sample claim about politics #176,false,politics,Snopes,2024-03-21T00:00:00,"['science', 'sports']",0.82,https://factcheck.example.com/176
FC000177,Sample claim about sports #177,mixed,sports,Snopes,2024-01-08T00:00:00,"['world_news', 'entertainment', 'business']",0.824,https://factcheck.example.com/177
FC000178,Sample claim about science #178,true,science,Reuters Fact Check,2024-04-17T00:00:00,['environment'],0.715,https://factcheck.example.com/178
FC000179,Sample claim about technology #179,true,technology,PolitiFact,2024-03-30T00:00:00,"['sports', 'world_news']",0.833,https://factcheck.example.com/179
FC000180,Sample claim about health #180,mixed,health,PolitiFact,2024-01-12T00:00:00,"['business', 'sports']",0.714,https://factcheck.example.com/180
FC000181,Sample claim about world_news #181,true,world_news,Reuters Fact Check,2024-02-09T00:00:00,"['environment', 'sports', 'politics']",0.831,https://factcheck.example.com/181
FC000182,Sample claim about world_news #182,false,world_news,Snopes,2024-01-20T00:00:00,"['business', 'science']",0.897,https://factcheck.example.com/182
FC000183,Sample claim about health #183,true,health,PolitiFact,2024-01-02T00:00:00,"['science', 'sports']",0.712,https://factcheck.example.com/183
FC000184,Sample claim about entertainment #184,mixed,entertainment,Snopes,2024-05-17T00:00:00,"['health', 'science', 'environment']",0.866,https://factcheck.example.com/184
FC000185,Sample claim about education #185,true,education,FactCheck.org,2024-03-01T00:00:00,"['politics', 'technology', 'science']",0.792,https://factcheck.example.com/185
FC000186,Sample claim about technology #186,mixed,technology,Snopes,2024-05-24T00:00:00,"['health', 'politics', 'business']",0.926,https://factcheck.example.com/186
FC000187,Sample claim about science #187,unverified,science,FactCheck.org,2024-05-18T00:00:00,['world_news'],0.796,https://factcheck.example.com/187
FC000188,Sample claim about business #188,false,business,PolitiFact,2024-02-17T00:00:00,"['education', 'environment']",0.705,https://factcheck.example.com/188
FC000189,Sample claim about health #189,true,health,AP Fact Check,2024-02-21T00:00:00,"['technology', 'entertainment']",0.882,https://factcheck.example.com/189
FC000190,Sample claim about environment #190,mixed,environment,Reuters Fact Check,2024-04-06T00:00:00,"['science', 'world_news', 'environment']",0.977,https://factcheck.example.com/190
FC000191,Sample claim about sports #191,true,sports,FactCheck.org,2024-06-21T00:00:00,"['entertainment', 'environment']",0.759,https://factcheck.example.com/191
FC000192,Sample claim about environment #192,false,environment,Snopes,2024-03-18T00:00:00,['health'],0.807,https://factcheck.example.com/192
FC000193,Sample claim about environment #193,true,environment,AP Fact Check,2024-04-25T00:00:00,"['politics', 'science']",0.922,https://factcheck.example.com/193
FC000194,Sample claim about science #194,true,science,Reuters Fact Check,2024-05-06T00:00:00,"['technology', 'business']",0.86,https://factcheck.example.com/194
FC000195,Sample claim about education #195,mixed,education,Reuters Fact Check,2024-01-07T00:00:00,"['health', 'environment', 'world_news']",0.904,https://factcheck.example.com/195
FC000196,Sample claim about world_news #196,true,world_news,FactCheck.org,2024-01-02T00:00:00,['science'],0.968,https://factcheck.example.com/196
FC000197,Sample claim about technology #197,mixed,technology,FactCheck.org,2024-02-06T00:00:00,"['environment', 'entertainment']",0.942,https://factcheck.example.com/197
FC000198,Sample claim about sports #198,true,sports,AP Fact Check,2024-04-15T00:00:00,"['health', 'education']",0.986,https://factcheck.example.com/198
FC000199,Sample claim about business #199,false,business,AP Fact Check,2024-03-12T00:00:00,"['world_news', 'entertainment', 'business']",0.9,https://factcheck.example.com/199
FC000200,Sample claim about world_news #200,unverified,world_news,Snopes,2024-06-13T00:00:00,"['science', 'health', 'environment']",0.772,https://factcheck.example.com/200
